Lead ID,Created At,Product Type,Channel,Device,Partner,City,Insurance Company,Payment Type,Minutes Since Abandonment,Days To Policy Expiry,Price,Discount Percent,Has Previous Purchase,Visited Offer Page,Incoming Call Last 24h,Sessions Last 7d,Offer Views Last 7d,Price Comparisons Last 7d,Days Since Last Visit,Expected Margin,Completed Purchase
L130554,2026-05-30 17:27:00,thirdparty,Paid,mobile,autoabzar,,Saman,cash,114,24,6260000.0,10.3,0,1,0,6,5,0,17.7,187800.0,0
L115744,2026-07-07 01:46:00,thirdparty,Paid,mobile,direct,Tehran,Dana,cash,211,11,6900000.0,5.1,0,1,0,3,2,2,2.0,179400.0,0
L134679,2026-07-28 09:49:00,thirdparty,SEO,mobile,shoraka,Tabriz,Parsian,installment,104,-1,11920000.0,3.0,0,1,1,3,1,0,0.4,309900.0,0
L123679,2026-06-09 11:34:00,thirdparty,CRM,mobile,direct,Tehran,Dana,cash,129,7,7390000.0,7.7,0,1,0,7,4,0,17.3,192100.0,0
L105863,2026-05-26 19:16:00,thirdparty,SEO,mobile,direct,Ahvaz,Dana,installment,32,-1,,7.4,0,1,0,4,5,1,15.9,214500.0,1
L118183,2026-05-04 00:18:00,thirdparty,CRM,mobile,direct,Other,Iran,cash,60,9,2270000.0,5.9,1,1,0,3,6,0,12.2,59000.0,1
L132273,2026-06-29 09:47:00,thirdparty,SEO,desktop,direct,Other,Parsian,cash,32,27,11010000.0,2.5,0,0,0,3,1,1,11.4,286300.0,0
L125518,2026-08-10 15:58:00,thirdparty,Paid,mobile,direct,Tehran,Dana,installment,108,7,11200000.0,9.1,0,0,0,2,3,3,6.2,291200.0,0
L110588,2026-07-19 22:58:00,carbody,Paid,mobile,direct,Tehran,Pasargad,cash,61,60,15130000.0,12.2,0,0,0,2,0,1,1.0,620300.0,0
L109110,2026-04-30 22:09:00,thirdparty,Paid,mobile,other_partner,Other,Iran,bnpl,13,6,,13.5,0,1,0,3,3,1,4.9,230600.0,0
L148581,2026-06-19 13:41:00,thirdparty,Paid,mobile,other_partner,Other,Dana,cash,300,-6,6380000.0,6.6,0,1,0,2,2,1,27.7,165900.0,0
L137928,2026-07-14 20:30:00,carbody,CRM,mobile,direct,Tehran,Saman,cash,74,10,20000000.0,2.0,0,1,0,2,2,1,5.9,840000.0,0
L127491,2026-08-19 10:29:00,thirdparty,Referral,desktop,direct,Tehran,Asia,cash,133,8,11300000.0,0.0,0,1,0,5,1,0,4.4,293800.0,0
L111417,2026-04-24 19:55:00,thirdparty,Paid,mobile,direct,Shiraz,Saman,cash,67,-1,8440000.0,0.9,1,1,0,2,4,1,14.5,253200.0,1
L112553,2026-06-09 01:19:00,thirdparty,SEO,mobile,other_partner,Shiraz,Iran,installment,48,18,2170000.0,3.4,0,1,0,4,2,0,11.9,56400.0,0
L138520,2026-07-04 14:08:00,carbody,Paid,mobile,other_partner,Qom,Saman,cash,172,18,22640000.0,14.4,0,1,0,2,3,1,3.8,950900.0,0
L104989,2026-07-20 10:59:00,carbody,SEO,mobile,direct,Tehran,Alborz,cash,61,20,24540000.0,0.0,0,1,0,3,3,0,16.7,932500.0,0
L132136,2026-07-22 00:18:00,carbody,Paid,mobile,direct,Tabriz,Dana,cash,83,15,16090000.0,4.2,0,0,0,1,2,0,10.8,611400.0,0
L112825,2026-07-06 12:48:00,thirdparty,Referral,desktop,direct,Other,Saman,cash,134,25,5880000.0,6.9,0,0,0,3,0,0,2.4,176400.0,0
L133205,2026-05-11 07:39:00,thirdparty,CRM,mobile,direct,Tehran,Asia,bnpl,101,3,6700000.0,6.1,0,0,0,4,0,0,0.0,160800.0,0
L135286,2026-08-11 00:17:00,thirdparty,Paid,desktop,direct,Tehran,Pasargad,installment,47,17,4700000.0,5.2,0,1,0,2,1,1,5.2,136300.0,0
L127880,2026-07-15 07:46:00,carbody,Referral,mobile,direct,Other,Pasargad,installment,48,-3,20360000.0,0.6,0,0,1,3,0,2,2.1,834800.0,0
L140928,2026-08-22 10:50:00,carbody,SEO,mobile,direct,Other,Alborz,cash,49,37,12020000.0,3.9,0,1,0,3,1,4,2.4,456800.0,0
L120179,2026-06-27 06:31:00,thirdparty,Paid,mobile,direct,Ahvaz,Iran,installment,231,6,6760000.0,8.5,0,0,0,1,1,1,32.0,175800.0,0
L147603,2026-06-05 00:41:00,carbody,Paid,mobile,autoabzar,Tabriz,Dana,cash,155,32,19570000.0,3.4,0,0,0,1,1,2,1.2,743700.0,0
L144112,2026-05-09 22:06:00,carbody,Paid,mobile,direct,Tehran,Iran,cash,58,3,23350000.0,9.9,0,0,0,2,1,0,16.8,887300.0,0
L108512,2026-04-21 20:11:00,carbody,SEO,mobile,direct,Shiraz,Dana,cash,180,8,19750000.0,1.2,1,0,0,1,0,0,6.3,750500.0,0
L132660,2026-06-20 07:26:00,thirdparty,SEO,mobile,other_partner,Tabriz,Pasargad,bnpl,24,33,5860000.0,6.3,0,1,0,3,1,1,8.4,158200.0,0
L102284,2026-07-29 06:53:00,carbody,SEO,desktop,direct,Tehran,Iran,installment,65,10,13720000.0,6.0,1,1,0,5,6,2,3.5,521400.0,0
L134320,2026-04-02 16:28:00,thirdparty,Paid,desktop,direct,Tehran,Parsian,installment,89,-20,6810000.0,7.3,0,0,0,4,1,0,15.3,177100.0,0
L105501,2026-08-15 20:42:00,thirdparty,Paid,mobile,autoabzar,Shiraz,Iran,installment,56,25,4000000.0,6.4,0,1,0,5,2,1,3.4,104000.0,0
L123015,2026-05-06 23:21:00,thirdparty,Paid,mobile,direct,Isfahan,Saman,cash,107,18,7470000.0,7.7,0,1,0,5,3,1,2.2,224100.0,0
L131978,2026-04-20 08:18:00,thirdparty,SEO,desktop,autoabzar,Isfahan,Asia,cash,125,12,5640000.0,7.6,0,1,0,5,3,1,7.9,146600.0,0
L105547,2026-07-29 07:56:00,carbody,Paid,desktop,shoraka,Karaj,Asia,cash,196,39,15130000.0,5.9,0,0,0,2,0,0,2.6,574900.0,0
L138390,2026-07-19 00:51:00,thirdparty,SEO,mobile,direct,Other,Iran,installment,172,23,7380000.0,1.2,0,1,0,6,4,0,8.8,191900.0,0
L122759,2026-05-02 13:49:00,thirdparty,CRM,mobile,direct,Isfahan,Saman,cash,157,19,6770000.0,2.8,0,1,1,2,4,1,22.9,203100.0,1
L148931,2026-05-05 15:16:00,thirdparty,Paid,mobile,direct,Other,Dana,cash,29,0,9960000.0,7.1,0,1,0,3,1,2,4.2,259000.0,0
L132308,2026-05-18 23:38:00,thirdparty,CRM,mobile,direct,Other,Alborz,cash,48,-3,5740000.0,3.0,0,0,0,2,0,1,0.2,149200.0,0
L138952,2026-08-14 13:34:00,thirdparty,CRM,mobile,direct,Isfahan,Asia,installment,164,28,6600000.0,4.6,0,0,0,3,1,4,0.1,171600.0,0
L129558,2026-05-22 18:33:00,thirdparty,Referral,desktop,direct,Isfahan,Parsian,installment,32,-1,5330000.0,4.5,0,1,0,3,3,1,2.2,138600.0,0
L143089,2026-04-21 10:47:00,thirdparty,Paid,mobile,direct,Other,Dana,bnpl,11,6,7250000.0,6.2,1,1,1,5,1,1,2.0,174000.0,1
L116475,2026-06-18 21:12:00,thirdparty,SEO,desktop,autoabzar,Rasht,Iran,cash,48,28,5460000.0,3.7,1,1,0,2,0,1,7.4,142000.0,0
L133188,2026-07-07 16:23:00,thirdparty,SEO,desktop,direct,Tehran,Alborz,cash,191,22,6710000.0,0.3,0,1,0,1,3,0,0.7,174500.0,0
L139687,2026-08-23 11:52:00,thirdparty,SEO,mobile,direct,Mashhad,Saman,cash,38,-1,7800000.0,4.3,0,1,0,2,4,1,5.3,234000.0,0
L133119,2026-07-03 07:41:00,thirdparty,Paid,mobile,direct,Qom,Asia,cash,107,11,7280000.0,0.8,1,0,0,2,0,0,5.5,189300.0,0
L127697,2026-04-24 10:33:00,thirdparty,SEO,mobile,direct,Mashhad,Saman,cash,71,9,5140000.0,0.0,0,0,0,4,0,0,0.8,154200.0,0
L128577,2026-05-08 03:38:00,carbody,Paid,mobile,other_partner,Tabriz,Saman,cash,186,15,22660000.0,6.6,1,1,1,4,0,2,0.3,951700.0,0
L141533,2026-05-16 15:16:00,thirdparty,SEO,mobile,shoraka,Qom,Asia,installment,101,-9,11060000.0,2.6,0,0,0,5,0,2,2.1,287600.0,0
L145797,2026-04-03 17:42:00,carbody,Paid,desktop,direct,Tabriz,Iran,cash,67,25,20700000.0,8.4,0,1,0,2,3,2,3.7,786600.0,0
L109951,2026-08-09 01:57:00,carbody,Paid,mobile,direct,Other,Saman,installment,180,27,19170000.0,,0,1,0,1,1,0,8.4,805100.0,0
L141659,2026-06-17 22:49:00,carbody,Referral,mobile,autoabzar,Tehran,Pasargad,installment,92,16,20750000.0,2.4,0,1,0,3,4,1,9.6,850800.0,0
L106152,2026-07-09 14:51:00,carbody,Paid,mobile,direct,Mashhad,Iran,cash,94,18,18920000.0,4.8,0,0,0,4,1,0,13.3,719000.0,0
L125800,2026-06-10 01:11:00,thirdparty,CRM,mobile,direct,Other,Dana,bnpl,98,5,10550000.0,4.6,1,1,0,3,1,1,1.9,253200.0,1
L111862,2026-06-06 19:12:00,carbody,CRM,mobile,direct,Other,Asia,cash,95,-6,16490000.0,9.1,0,1,0,1,2,0,4.3,626600.0,0
L107129,2026-04-18 20:05:00,thirdparty,Referral,mobile,direct,Tehran,Pasargad,cash,103,15,5170000.0,0.4,0,1,0,4,3,0,5.9,149900.0,0
L117068,2026-05-17 13:46:00,thirdparty,SEO,desktop,autoabzar,Tehran,Iran,cash,30,17,7680000.0,2.6,0,1,0,5,6,0,17.8,199700.0,0
L114177,2026-06-21 02:59:00,thirdparty,SEO,mobile,direct,Other,Parsian,installment,51,12,7130000.0,5.1,0,1,0,5,4,3,5.1,185400.0,0
L144841,2026-05-12 10:52:00,thirdparty,SEO,mobile,direct,Other,Alborz,cash,85,-10,8640000.0,2.7,0,1,0,2,3,2,3.0,224600.0,0
L129908,2026-07-14 20:34:00,thirdparty,SEO,mobile,direct,Tehran,Dana,cash,56,0,4600000.0,1.7,0,1,0,5,1,1,19.0,119600.0,0
L113719,2026-04-22 17:52:00,thirdparty,SEO,mobile,autoabzar,Tehran,Saman,bnpl,183,-9,2930000.0,3.6,0,1,0,6,4,2,13.6,82000.0,0
L140793,2026-07-12 20:11:00,thirdparty,CRM,mobile,direct,Other,Iran,cash,74,5,6010000.0,7.0,1,1,0,7,2,0,1.4,156300.0,0
L139891,2026-04-03 21:14:00,thirdparty,SEO,mobile,direct,Other,Saman,installment,39,-1,7830000.0,8.5,0,0,0,3,0,3,28.1,234900.0,0
L110191,2026-08-13 22:59:00,thirdparty,Paid,mobile,direct,Tehran,Saman,cash,45,22,7040000.0,6.3,1,1,0,5,1,0,4.5,211200.0,0
L148963,2026-06-23 21:44:00,thirdparty,Paid,mobile,direct,Tehran,Pasargad,bnpl,91,0,8790000.0,9.0,0,1,0,4,2,0,0.7,237300.0,0
L102949,2026-04-10 18:19:00,thirdparty,SEO,mobile,shoraka,Other,Asia,bnpl,42,16,8060000.0,7.2,1,1,0,9,4,2,12.4,193400.0,1
L132342,2026-07-26 01:21:00,thirdparty,Paid,mobile,other_partner,Tehran,Saman,cash,48,2,10000000.0,3.0,0,0,0,3,0,0,2.3,300000.0,0
L127722,2026-05-21 03:43:00,thirdparty,SEO,mobile,direct,Tehran,Asia,installment,130,14,4850000.0,9.4,1,1,0,6,2,0,0.4,126100.0,0
L142779,2026-05-31 00:22:00,thirdparty,SEO,mobile,direct,Tehran,Asia,cash,91,18,8960000.0,4.2,1,1,0,2,5,1,17.0,233000.0,0
L120215,2026-05-29 21:32:00,carbody,SEO,desktop,other_partner,Mashhad,Iran,cash,124,30,,9.4,0,1,1,1,4,0,0.2,777900.0,0
L111179,2026-04-23 06:41:00,carbody,CRM,mobile,direct,Tabriz,Saman,cash,61,29,18120000.0,6.0,0,1,0,5,3,2,0.8,761000.0,0
L113838,2026-07-28 01:30:00,thirdparty,SEO,mobile,other_partner,Shiraz,Parsian,cash,147,6,9320000.0,0.0,0,1,0,4,3,0,13.0,242300.0,0
L130288,2026-05-10 08:31:00,thirdparty,SEO,mobile,direct,Tehran,Saman,bnpl,110,18,7440000.0,7.6,0,1,0,4,3,1,0.8,208300.0,0
L149274,2026-06-13 17:30:00,thirdparty,CRM,mobile,shoraka,Tehran,Parsian,cash,148,2,9480000.0,8.2,0,1,0,6,1,1,3.0,246500.0,0
L143953,2026-08-16 05:55:00,thirdparty,SEO,mobile,direct,Tehran,Pasargad,cash,97,12,8450000.0,4.6,0,1,0,4,2,3,19.2,245000.0,1
L149981,2026-07-13 13:01:00,thirdparty,Paid,mobile,direct,Tehran,Saman,cash,32,3,9720000.0,10.5,0,1,0,6,3,2,3.0,291600.0,0
L108217,2026-07-30 14:20:00,thirdparty,SEO,mobile,autoabzar,Tabriz,Iran,bnpl,103,2,8940000.0,3.5,0,0,0,2,0,2,10.7,214600.0,0
L103607,2026-05-24 08:12:00,thirdparty,Paid,desktop,direct,Tehran,Asia,bnpl,37,-1,4740000.0,3.3,0,1,0,2,2,0,0.3,113800.0,0
L141437,2026-06-24 20:58:00,thirdparty,SEO,desktop,other_partner,Other,Asia,cash,107,19,6140000.0,6.4,0,1,0,5,2,3,12.5,159600.0,0
L120227,2026-08-08 17:49:00,carbody,Referral,mobile,direct,Rasht,Iran,cash,196,20,22490000.0,5.0,0,1,0,7,4,4,1.5,854600.0,0
L148369,2026-04-22 13:41:00,thirdparty,Referral,mobile,autoabzar,Other,Saman,cash,227,13,5420000.0,5.7,1,1,0,5,3,0,2.9,162600.0,0
L146389,2026-07-09 08:52:00,thirdparty,Paid,mobile,direct,Mashhad,Iran,cash,133,22,5350000.0,11.7,0,0,0,2,0,1,8.6,139100.0,0
L134835,2026-07-04 13:12:00,thirdparty,Paid,desktop,shoraka,Shiraz,Asia,installment,144,16,6880000.0,5.0,1,1,0,8,5,0,6.8,178900.0,0
L138360,2026-04-18 19:31:00,carbody,SEO,mobile,autoabzar,Karaj,Asia,cash,101,9,28400000.0,5.9,0,1,0,2,1,1,13.9,1079200.0,0
L106445,2026-05-01 09:51:00,thirdparty,SEO,mobile,direct,Tehran,Parsian,bnpl,104,18,9240000.0,7.5,0,1,1,4,3,3,3.6,221800.0,1
L123453,2026-04-24 08:00:00,carbody,CRM,mobile,shoraka,Rasht,Alborz,cash,66,16,23440000.0,10.4,1,0,0,2,0,1,11.3,890700.0,0
L103367,2026-06-06 22:54:00,thirdparty,SEO,mobile,shoraka,Karaj,Asia,cash,62,35,10300000.0,5.4,0,1,0,3,2,2,8.5,267800.0,0
L145146,2026-07-08 16:42:00,carbody,Paid,mobile,direct,Karaj,Saman,installment,237,17,15100000.0,7.6,0,1,0,6,4,4,1.7,634200.0,0
L120063,2026-07-26 22:20:00,thirdparty,Paid,mobile,autoabzar,Tehran,Alborz,installment,69,30,10920000.0,10.1,0,1,0,6,3,1,3.7,283900.0,0
L124088,2026-05-28 10:00:00,thirdparty,SEO,mobile,shoraka,Tehran,Parsian,installment,144,22,8010000.0,3.5,0,1,0,1,6,1,3.9,208300.0,0
L115400,2026-05-26 04:31:00,carbody,CRM,mobile,direct,Tehran,Parsian,cash,238,6,17530000.0,12.8,1,1,0,4,5,1,1.0,666100.0,0
L104285,2026-05-26 22:45:00,thirdparty,SEO,mobile,direct,Tehran,Asia,cash,35,14,7580000.0,6.1,0,1,0,5,4,1,33.6,197100.0,0
L148196,2026-07-31 11:43:00,thirdparty,SEO,desktop,autoabzar,Tehran,Asia,cash,25,19,8210000.0,3.7,0,0,1,2,1,3,1.1,213500.0,0
L114250,2026-04-02 18:15:00,thirdparty,CRM,mobile,direct,Ahvaz,Iran,installment,108,-5,9390000.0,0.0,1,1,0,3,1,0,7.5,244100.0,0
L111952,2026-05-18 19:49:00,thirdparty,SEO,mobile,direct,Tehran,Parsian,installment,62,15,6900000.0,0.9,0,1,1,4,1,2,3.5,179400.0,0
L144091,2026-04-28 18:44:00,thirdparty,CRM,desktop,direct,Tabriz,Pasargad,cash,80,12,10010000.0,8.2,1,1,0,4,7,1,1.1,290300.0,0
L108683,2026-07-26 22:33:00,thirdparty,SEO,mobile,direct,Other,Alborz,cash,60,-3,7530000.0,2.5,0,1,0,3,3,2,7.8,195800.0,0
L111976,2026-08-15 21:14:00,carbody,Referral,mobile,direct,Tehran,Iran,bnpl,105,20,21910000.0,1.0,0,0,0,1,2,2,16.5,788800.0,0
L110216,2026-06-19 22:36:00,thirdparty,SEO,mobile,direct,Qom,Pasargad,cash,36,17,8700000.0,1.3,0,1,0,1,4,4,6.4,252300.0,0
L135202,2026-04-09 20:16:00,thirdparty,SEO,mobile,direct,Other,Dana,cash,199,-1,4660000.0,8.9,0,1,0,2,4,0,12.5,121200.0,0
L108032,2026-04-13 00:58:00,thirdparty,CRM,desktop,direct,Tabriz,Iran,installment,128,3,6210000.0,0.0,1,1,0,6,1,0,2.1,161500.0,1
L146066,2026-04-16 13:15:00,carbody,Referral,desktop,direct,Tehran,Saman,bnpl,112,39,33330000.0,8.3,0,0,0,3,0,0,3.6,1333200.0,0
L127130,2026-08-12 14:48:00,thirdparty,Paid,mobile,direct,Other,Asia,cash,113,12,8500000.0,9.2,1,0,0,3,0,0,1.6,221000.0,0
L100023,2026-07-10 03:03:00,thirdparty,Paid,desktop,shoraka,Other,Dana,installment,140,38,3930000.0,5.2,0,1,0,6,5,0,7.7,102200.0,1
L104380,2026-05-31 19:31:00,carbody,SEO,mobile,direct,Shiraz,Iran,installment,53,23,18710000.0,5.9,0,1,0,7,2,1,0.6,711000.0,0
L100871,2026-06-03 00:23:00,thirdparty,SEO,mobile,direct,Tehran,Alborz,bnpl,26,21,9070000.0,2.1,1,1,0,5,3,1,5.4,217700.0,1
L135520,2026-07-09 01:07:00,thirdparty,CRM,mobile,autoabzar,Tehran,Asia,installment,114,8,8270000.0,5.5,0,0,0,2,0,1,1.8,215000.0,0
L112417,2026-04-15 13:20:00,thirdparty,Paid,desktop,direct,Tehran,Iran,cash,16,15,11000000.0,8.3,1,1,0,4,5,0,0.5,286000.0,0
L143601,2026-07-20 03:53:00,thirdparty,SEO,mobile,shoraka,Tehran,Parsian,bnpl,79,28,10710000.0,2.8,0,0,0,4,1,1,3.7,257000.0,1
L117002,2026-08-19 11:37:00,thirdparty,SEO,mobile,direct,Tehran,Asia,installment,156,38,7900000.0,12.8,0,0,0,1,0,1,4.1,205400.0,0
L128931,2026-06-05 02:35:00,thirdparty,SEO,mobile,direct,Other,Saman,cash,82,5,4400000.0,2.4,0,1,0,1,3,2,11.6,132000.0,0
L138997,2026-07-01 13:05:00,thirdparty,Paid,mobile,other_partner,Ahvaz,Asia,installment,41,9,,7.4,0,0,0,4,1,0,3.8,219700.0,0
L108863,2026-08-21 04:13:00,thirdparty,SEO,desktop,direct,Tabriz,Parsian,installment,95,5,7920000.0,6.9,0,0,1,4,0,2,0.4,205900.0,1
L118189,2026-04-11 06:09:00,carbody,SEO,mobile,direct,Other,Pasargad,cash,41,20,15930000.0,0.4,0,0,0,2,1,0,4.4,653100.0,0
L122924,2026-08-28 13:00:00,thirdparty,Paid,mobile,shoraka,Shiraz,Asia,cash,55,26,8070000.0,1.2,1,1,1,6,0,2,0.7,209800.0,0
L103323,2026-06-12 22:01:00,thirdparty,Referral,mobile,direct,Other,Saman,installment,44,4,7270000.0,0.2,1,1,0,6,1,0,4.5,218100.0,0
L116536,2026-04-11 10:24:00,thirdparty,Paid,mobile,direct,,Asia,cash,75,-5,8260000.0,12.7,0,0,0,3,0,0,13.9,214800.0,0
L139427,2026-08-06 12:46:00,thirdparty,Referral,mobile,direct,Isfahan,Saman,installment,54,33,9310000.0,9.0,0,1,0,2,0,1,1.7,279300.0,0
L106599,2026-05-12 16:05:00,thirdparty,SEO,desktop,other_partner,Mashhad,Pasargad,cash,73,28,,6.8,0,0,0,3,1,2,4.4,268200.0,0
L147961,2026-05-10 05:02:00,thirdparty,Paid,mobile,autoabzar,Isfahan,Saman,cash,74,2,4110000.0,5.9,0,1,0,2,3,1,2.5,123300.0,0
L120438,2026-05-27 14:04:00,carbody,CRM,desktop,autoabzar,Mashhad,Asia,cash,104,6,18040000.0,0.0,0,1,0,5,3,1,1.4,685500.0,0
L145094,2026-04-23 05:34:00,thirdparty,CRM,mobile,direct,Other,Iran,cash,70,-3,6380000.0,8.0,1,1,1,4,2,0,3.8,165900.0,0
L121268,2026-08-21 13:25:00,carbody,Referral,mobile,direct,Other,Iran,bnpl,118,27,18140000.0,5.3,0,0,0,2,0,0,10.2,653000.0,0
L128817,2026-07-12 19:54:00,carbody,Paid,mobile,direct,Karaj,Asia,cash,83,8,22530000.0,3.2,0,1,0,4,2,1,12.0,856100.0,0
L112489,2026-08-14 21:56:00,thirdparty,SEO,mobile,other_partner,Tehran,Iran,cash,79,-9,8110000.0,0.0,0,0,0,3,1,1,10.6,210900.0,0
L133657,2026-04-26 23:51:00,thirdparty,SEO,mobile,direct,Tehran,Dana,cash,95,6,5820000.0,5.5,0,1,0,6,3,0,1.2,151300.0,0
L104934,2026-08-12 08:46:00,thirdparty,Paid,mobile,other_partner,Karaj,Asia,installment,129,2,7200000.0,0.0,1,1,0,6,5,0,3.8,187200.0,0
L105665,2026-06-01 08:56:00,thirdparty,Referral,desktop,autoabzar,Qom,Asia,cash,62,6,8890000.0,5.5,1,1,0,4,3,2,0.1,231100.0,1
L128560,2026-07-07 14:59:00,thirdparty,CRM,mobile,direct,Isfahan,Iran,installment,110,0,7420000.0,2.2,0,0,0,3,1,0,1.3,192900.0,0
L137317,2026-05-27 06:02:00,thirdparty,Paid,mobile,autoabzar,Shiraz,Asia,cash,84,11,8260000.0,5.5,1,1,0,4,2,1,8.6,214800.0,0
L114940,2026-07-20 02:07:00,thirdparty,CRM,mobile,autoabzar,Tabriz,Parsian,cash,187,0,7570000.0,7.5,0,1,1,3,3,0,12.1,196800.0,0
L148590,2026-07-08 10:57:00,thirdparty,CRM,mobile,autoabzar,Other,Saman,bnpl,171,26,10570000.0,5.8,0,0,0,2,0,0,2.2,296000.0,0
L120247,2026-05-11 00:38:00,thirdparty,Paid,desktop,other_partner,Shiraz,Parsian,installment,159,9,6180000.0,3.7,1,1,0,5,3,1,4.0,160700.0,0
L118005,2026-05-18 14:51:00,thirdparty,SEO,mobile,direct,Rasht,Alborz,cash,133,25,7930000.0,3.3,0,1,0,1,1,1,1.3,206200.0,0
L128873,2026-06-04 17:20:00,thirdparty,Referral,mobile,autoabzar,Isfahan,Dana,cash,246,4,4020000.0,1.7,0,1,0,5,2,1,16.9,104500.0,0
L142000,2026-05-09 01:40:00,thirdparty,SEO,mobile,direct,Tehran,Parsian,installment,104,13,5910000.0,1.9,0,1,0,3,4,1,1.8,153700.0,0
L138832,2026-07-04 16:12:00,thirdparty,SEO,mobile,direct,Karaj,Saman,bnpl,17,13,6280000.0,12.4,0,1,0,4,1,1,11.4,175800.0,1
L131776,2026-06-11 02:55:00,thirdparty,Paid,mobile,direct,Tehran,Iran,cash,85,15,9710000.0,0.7,1,1,0,1,3,0,1.5,252500.0,0
L103149,2026-08-26 09:24:00,thirdparty,Paid,mobile,direct,Tehran,Iran,bnpl,33,-6,8840000.0,8.8,0,0,0,3,0,0,33.2,212200.0,0
L110380,2026-06-30 16:16:00,thirdparty,SEO,desktop,shoraka,Qom,Iran,installment,98,0,5340000.0,1.4,0,1,0,3,1,1,18.8,138800.0,0
L123612,2026-08-02 08:46:00,thirdparty,SEO,mobile,direct,Other,Parsian,cash,66,20,7540000.0,6.4,0,0,0,4,0,1,1.4,196000.0,0
L125924,2026-05-16 15:35:00,carbody,Paid,mobile,direct,Isfahan,Asia,installment,70,-5,22650000.0,9.1,0,1,0,3,3,1,9.6,860700.0,0
L147586,2026-04-25 22:48:00,thirdparty,SEO,mobile,direct,Tehran,Parsian,cash,228,19,9490000.0,5.5,0,1,0,4,5,2,12.5,246700.0,0
L113018,2026-08-12 09:26:00,thirdparty,Referral,mobile,shoraka,Mashhad,Alborz,cash,87,2,6660000.0,2.9,0,1,0,5,2,0,2.5,173200.0,0
L107724,2026-06-25 16:25:00,thirdparty,SEO,mobile,direct,Other,Dana,installment,131,23,7620000.0,5.8,0,1,0,2,1,1,15.7,198100.0,0
L100079,2026-04-03 20:29:00,carbody,SEO,mobile,direct,Rasht,Saman,cash,58,17,14610000.0,0.7,0,0,0,2,1,2,10.6,613600.0,0
L131445,2026-08-22 04:54:00,thirdparty,Paid,mobile,direct,Isfahan,Pasargad,cash,85,15,8260000.0,5.4,0,1,0,1,2,1,0.6,239500.0,0
L104399,2026-06-21 11:58:00,thirdparty,SEO,mobile,direct,Rasht,Asia,installment,194,-2,2500000.0,4.1,1,1,0,4,4,2,6.5,65000.0,0
